561|José María Martínez Martínez|PAN|Jalisco|729|Juana Elvira Hernández Lozano
562|Ana Lilia Herrera Anzaldo|PRI|México|730|María Lorena Marín Moreno
618|María Elena Barrera Tapia|PVEM|México|731|Martha Vianey Luque Inzunza
636|Alejandro de Jesús Encinas Rodríguez|Independiente|México|732|Manuel  Crisóstomo Reyes
563|José Ascención Orihuela Bárcenas|PRI|Michoacán|733|Agustín Trujillo Íñiguez
564|Ma. del Rocío Pineda Gochi|PRI|Michoacán|734|Terecita Isabel Cano Higuera
565|Raúl Morón Orozco|Independiente|Michoacán|735|Luciano Borreguín González
617|Emilio Gamboa Patrón|PRI|Lista Nacional|736|Jorge Alberto Juraidini Rumilla
619|María Cristina Díaz Salazar|PRI|Lista Nacional|737|María Esther Terán Velázquez
620|Armando  Neyra Chávez|PRI|Lista Nacional|738|José Luis Carazo Preciado
621|Diva Hadamira Gastélum Bajo|PRI|Lista Nacional|739|Ofelia Socorro Jasso Nieto
623|Gerardo Sánchez García|PRI|Lista Nacional|740|Víctor Manuel Anastasio Galicia Ávila
624|Graciela Ortiz González|PRI|Lista Nacional|741|Ana Georgina Zapata Lucero
625|Carlos Romero Deschamps|PRI|Lista Nacional|742|Enrique Serrano Escobar
626|Arely Gómez González|PRI|Lista Nacional|743|María Hilaria Domínguez Arvizu
628|Joel  Ayala Almeida|PRI|Lista Nacional|744|Alfredo Villegas Arreola
637|Hilda Esthela Flores Escalera|PRI|Lista Nacional|745|Diana Patricia González Soto
638|Raúl Cervantes Andrade|PRI|Lista Nacional|746|Ricardo Urzúa Rivera
606|Ernesto Javier Cordero Arroyo|PAN|Lista Nacional|747|Elia Hernández Núñez
607|Mariana Gómez del Campo Gurza|PAN|Lista Nacional|748|María Isabel Quiroga Fernández
608|Roberto Gil Zuarth|PAN|Lista Nacional|749|Adriana Loaiza Garzón
609|Luisa María Calderón Hinojosa|Independiente|Lista Nacional|750|Lizette Clavel Sánchez
611|Salvador Vega Casillas|PAN|Lista Nacional|751|Yolanda Martínez Medina
612|Gabriela Cuevas Barron|PAN|Lista Nacional|752|Blanca Belia Márquez Espinoza
614|Alonso Lujambio Irazábal|PAN|Lista Nacional|753|Ma. del Pilar Ortega Martínez
615|Laura Angélica Rojas Hernández|PAN|Lista Nacional|754|Adriana Cortés Álvarez
616|Héctor Larios Córdova|PAN|Lista Nacional|755|Agustina Eduwiges García Corrales
629|Miguel Barbosa Huerta|PT|Lista Nacional|756|Marlon Berlanga Sánchez
630|Angélica De la Peña Gómez|PRD|Lista Nacional|757|Adriana Noemí Ortíz Ortega
631|Luis Sánchez Jiménez|PRD|Lista Nacional|758|Rodolfo Rubén Islas Ramos
632|María de los Dolores Padierna Luna|PT|Lista Nacional|759|Emma del Pilar Ferrer del Rio
633|Víctor Manuel Camacho Solís|PRD|Lista Nacional|760|Luis Humberto Fernández Fuentes
639|Iris Vianey Mendoza Mendoza|PRD|Lista Nacional|761|Olivia Corral Arriaga
610|Ninfa Salinas Sada|PVEM|Lista Nacional|762|Alma Lucía Arzaluz Alonso
613|Juan Gerardo Flores Ramírez|PVEM|Lista Nacional|763|Pedro Ángel Contreras López
634|Manuel Bartlett Díaz|PT|Lista Nacional|764|Francisco Amadeo Espinosa Ramos
635|Ana Gabriela Guevara Espinoza|PT|Lista Nacional|765|María del Rosario Del Castillo Aguilar
622|Layda Sansores San Román|PT|Lista Nacional|766| María del Carmen Ojesto Martínez Porcayo
627|Mónica Tzasna Arriola Gordillo|Independiente|Lista Nacional|767|Manuel Cárdenas Fonseca
